City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Karratha,AU,85.33,light rain,-20.7377,116.8463,ibis Styles Karratha
1,Hermanus,ZA,67.8,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
2,Bredasdorp,ZA,63.43,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
3,Hilo,US,73.27,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
4,Abonnema,NG,88.48,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
6,Cayenne,GF,84.24,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
7,Matai,TZ,78.24,light rain,-8.3,31.5167,Rashid agro vet
8,Lynchburg,US,63.88,clear sky,37.4138,-79.1423,Econo Lodge
11,Barkly West,ZA,63.68,light rain,-28.5354,24.5215,Stafford Parker Guest House
12,Rikitea,PF,78.15,clear sky,-23.1203,-134.9692,People ThankYou
13,Port Alfred,ZA,67.17,overcast clouds,-33.5906,26.891,The Halyards Hotel
16,Port Macquarie,AU,60.89,scattered clouds,-31.4333,152.9167,Rydges Port Macquarie
19,Grand-Bourg,GP,85.95,scattered clouds,15.8835,-61.3148,Coco Beach Resort
20,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
22,Thaton,MM,82.85,scattered clouds,16.9206,97.3714,"Shwe Pyi Soe Guest House, Thaton"
23,Arrecife,ES,71.58,haze,28.963,-13.5477,Hotel Lancelot
27,Butaritari,KI,81.23,few clouds,3.0707,172.7902,Isles Sunset Lodge
29,Airai,TL,60.82,overcast clouds,-8.9266,125.4092,
30,Farafangana,MG,75.83,clear sky,-22.8167,47.8333,Miarina
31,Great Yarmouth,GB,61.41,overcast clouds,52.6083,1.7305,Comfort Hotel Great Yarmouth
32,Kapaa,US,69.48,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
35,Puerto Escondido,MX,86.83,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
37,Nabire,ID,76.44,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
39,Hong Kong,HK,72.32,overcast clouds,22.2855,114.1577,Mini Hotel Central
41,Salalah,OM,84.29,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
42,Cidreira,BR,69.96,overcast clouds,-30.1811,-50.2056,Hotel Castelo
45,Anloga,GH,84.94,overcast clouds,5.7947,0.8973,Pin Drop Hotel
47,Tual,ID,83.16,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
48,Saint-Joseph,RE,77.38,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
49,Rawson,AR,64.4,scattered clouds,-43.3002,-65.1023,Hosteria Sampedro
50,Llandrindod Wells,GB,63.41,overcast clouds,52.2416,-3.3787,Metropole Hotel and Spa
54,Gamba,GA,81.64,overcast clouds,-2.65,10.0,
56,Accra,GH,86.41,few clouds,5.556,-0.1969,Accra City Hotel
58,Mahébourg,MU,79.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
59,Kavieng,PG,82.78,broken clouds,-2.5744,150.7967,Nusa Island Retreat
66,Mapiri,BO,67.71,overcast clouds,-15.25,-68.1667,
68,Pilar,BR,82.33,broken clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
74,Cape Town,ZA,70.11,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
76,Kirakira,SB,79.63,overcast clouds,-10.4544,161.9205,SanBiz Lodge
79,Havelock,US,69.98,few clouds,34.8791,-76.9013,Sherwood Motel
82,East London,ZA,69.53,broken clouds,-33.0153,27.9116,Tu Casa
83,Avarua,CK,75.25,scattered clouds,-21.2078,-159.775,Paradise Inn
84,Dzaoudzi,YT,82.29,few clouds,-12.7887,45.2699,Le Rocher
86,Castro,BR,66.16,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
87,Bambous Virieux,MU,79.21,moderate rain,-20.3428,57.7575,Casa Tia Villa
88,Alofi,NU,71.49,broken clouds,-19.0595,-169.9187,Taloa Heights
89,George Town,MY,83.95,moderate rain,5.4112,100.3354,Cititel Penang
90,Hobart,AU,64.26,scattered clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
