City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Country,Date
0,Karratha,-20.7377,116.8463,85.33,44,42,5.66,light rain,AU,2022-04-17 15:47:47
1,Hermanus,-34.4187,19.2345,67.8,59,9,15.57,clear sky,ZA,2022-04-17 15:47:47
2,Bredasdorp,-34.5322,20.0403,63.43,72,0,9.44,clear sky,ZA,2022-04-17 15:47:47
3,Hilo,19.7297,-155.09,73.27,95,100,3.44,light rain,US,2022-04-17 15:47:48
4,Abonnema,4.7084,6.7931,88.48,60,93,6.78,overcast clouds,NG,2022-04-17 15:47:48
5,Havre-St-Pierre,50.2334,-63.5986,34.16,93,100,10.36,overcast clouds,CA,2022-04-17 15:47:48
6,Cayenne,4.9333,-52.3333,84.24,14,100,11.5,overcast clouds,GF,2022-04-17 15:47:49
7,Matai,-8.3,31.5167,78.24,93,17,4.23,light rain,TZ,2022-04-17 15:47:49
8,Lynchburg,37.4138,-79.1423,63.88,32,0,8.05,clear sky,US,2022-04-17 15:47:50
9,Westport,41.1415,-73.3579,50.18,40,0,17.27,clear sky,US,2022-04-17 15:47:50
10,Dikson,73.5069,80.5464,8.08,93,100,13.22,overcast clouds,RU,2022-04-17 15:47:51
11,Barkly West,-28.5354,24.5215,63.68,65,57,12.59,light rain,ZA,2022-04-17 15:47:51
12,Rikitea,-23.1203,-134.9692,78.15,65,3,12.37,clear sky,PF,2022-04-17 15:39:40
13,Port Alfred,-33.5906,26.891,67.17,78,97,7.25,overcast clouds,ZA,2022-04-17 15:47:51
14,Tasiilaq,65.6145,-37.6368,35.76,99,100,6.58,moderate rain,GL,2022-04-17 15:47:52
15,Busselton,-33.65,115.3333,55.99,68,24,3.56,few clouds,AU,2022-04-17 15:39:45
16,Port Macquarie,-31.4333,152.9167,60.89,88,27,4.85,scattered clouds,AU,2022-04-17 15:47:52
17,Albany,42.6001,-73.9662,39.92,72,64,3.0,broken clouds,US,2022-04-17 15:38:40
