City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Puerto Ayora,-0.7393,-90.3518,80.56,80,86,7.7,EC,4/16/22 21:11
1,Albany,42.6001,-73.9662,41.23,88,100,1.01,US,4/16/22 21:07
2,Campbell River,50.0163,-125.2446,54.45,25,29,2.77,CA,4/16/22 21:08
3,Makubetsu,45.3714,141.8211,42.6,80,79,20.54,JP,4/16/22 21:11
4,Tiksi,71.6872,128.8694,0,98,66,4.23,RU,4/16/22 21:11
5,Hilo,19.7297,-155.09,77.29,97,100,3.44,US,4/16/22 21:11
6,Georgetown,5.4112,100.3354,80.53,89,20,0,MY,4/16/22 21:08
7,Tasiilaq,65.6145,-37.6368,35.76,97,100,14.74,GL,4/16/22 21:11
8,Avarua,-21.2078,-159.775,80.65,83,20,5.75,CK,4/16/22 21:11
9,Busselton,-33.65,115.3333,54.88,81,16,9.53,AU,4/16/22 21:11
10,Salalah,17.0151,54.0924,80.69,89,40,2.3,OM,4/16/22 21:11
11,Bengkulu,-3.8004,102.2655,76.89,89,100,3,ID,4/16/22 21:11
12,Tornio,65.8481,24.1466,30.22,99,95,3.56,FI,4/16/22 21:11
13,Ushuaia,-54.8,-68.3,44.26,61,20,4.61,AR,4/16/22 21:08
14,Komsomolskiy,40.4272,71.7189,69.37,22,7,4.09,UZ,4/16/22 21:11
15,Eureka,40.8021,-124.1637,57.13,58,21,7,US,4/16/22 21:11
16,Kavaratti,10.5669,72.642,83.3,73,21,3.36,IN,4/16/22 21:11
17,Baruun-Urt,46.6806,113.2792,36.72,50,33,5.91,MN,4/16/22 21:11
18,Zgierz,51.8556,19.4062,40.91,65,0,10,PL,4/16/22 21:11
19,Seymchan,62.8833,152.4333,9.37,93,90,3.22,RU,4/16/22 21:11
20,Buala,-8.145,159.5921,81,79,100,5.08,SB,4/16/22 21:11
21,Atuona,-9.8,-139.0333,79.25,78,19,15.97,PF,4/16/22 21:11
22,Zalari,53.5584,102.5065,42.8,75,100,4.43,RU,4/16/22 21:11
23,Souillac,-20.5167,57.5167,76.33,85,34,14.32,MU,4/16/22 21:11
24,Kaohsiung,22.6163,120.3133,72.03,76,97,1.01,TW,4/16/22 21:11
25,Mezen,65.8522,44.24,26.8,96,98,5.79,RU,4/16/22 21:11
26,Geraldton,-28.7667,114.6,66.61,77,96,16.11,AU,4/16/22 21:11
27,Atasu,48.6814,71.6433,57.29,21,99,9.55,KZ,4/16/22 21:11
28,Hobart,-42.8794,147.3294,58.26,90,0,3.44,AU,4/16/22 21:08
29,Barrow,71.2906,-156.7887,5.02,78,0,20.71,US,4/16/22 21:11
30,Pevek,69.7008,170.3133,6.82,93,100,6.35,RU,4/16/22 21:11
31,Hammerfest,70.6634,23.6821,39.65,93,75,19.57,NO,4/16/22 21:11
32,Hasaki,35.7333,140.8333,43.2,61,100,8.81,JP,4/16/22 21:11
33,Pastavy,55.1168,26.8326,31.6,86,20,7.27,BY,4/16/22 21:11
34,Bilibino,68.0546,166.4372,15.35,91,79,2.53,RU,4/16/22 21:11
35,Puerto Leguizamo,-0.1934,-74.7819,84.58,68,99,1.79,CO,4/16/22 21:11
36,Yellowknife,62.456,-114.3525,12.56,51,65,11.01,CA,4/16/22 21:08
37,Sistranda,63.7256,8.834,42.76,86,99,5.55,NO,4/16/22 21:11
38,Coihaique,-45.5752,-72.0662,61.41,54,0,0,CL,4/16/22 21:11
39,Port Alfred,-33.5906,26.891,62.19,84,100,7,ZA,4/16/22 21:11
40,Qaanaaq,77.484,-69.3632,0,79,58,4.81,GL,4/16/22 21:11
41,Awjilah,29.1081,21.2869,75.74,22,46,4.63,LY,4/16/22 21:11
42,Durres,41.3231,19.4414,60.98,81,100,7.83,AL,4/16/22 21:11
43,Tuktoyaktuk,69.4541,-133.0374,3.54,79,34,4.92,CA,4/16/22 21:11
44,Sibu,2.3,111.8167,74.07,99,96,2.17,MY,4/16/22 21:11
